"ID","PointName","System","Device","PointType","TimeInterval","Unit","Source","Correction"
4450006,"NVE_ECP_400_M2nvoI6","Space","M23","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4450007,"NVE_ECP_400_M2nvoI7","Space","M24","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4450008,"NVE_ECP_400_M2nvoI8","Space","M24","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4450009,"NVE_ECP_400_M2nvoI9","Space","M25","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4450010,"NVE_ECP_400_M2nvoI10","Space","M25","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4450011,"NVE_ECP_400_M1nvoI11","Space","M26","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4450012,"NVE_ECP_400_M1nvoI12","Space","M26","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4460001,"NVE_ECP_400_M2nvoO1","Active Beam","M21","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4460002,"NVE_ECP_400_M2nvoO2","Active Beam","M22","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4460003,"NVE_ECP_400_M2nvoO3","Active Beam","M23","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4460004,"NVE_ECP_400_M2nvoO4","Active Beam","M24","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4460005,"NVE_ECP_400_M2nvoO5","Active Beam","M25","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4460006,"NVE_ECP_400_M2nvoO6","Active Beam","M26","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4470001,"NVE_EC_67_B3nvoI1","Fan Coil Units","FC_B_5 (B22)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4470002,"NVE_EC_67_B3nvoI2","Fan Coil Units","FC_B_5","SupplyFanStatus",1,"bin","Control",""
4470003,"NVE_EC_67_B3nvoI3","Fan Coil Units","FC_B_5","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
4470004,"NVE_EC_67_B3nvoI4","Fan Coil Units","FC_B_5 (B20)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4470005,"NVE_EC_67_B3nvoI5","Space","B36B","Alarm",1,"bin","Control",""
4470006,"NVE_EC_67_B3nvoI6","Space","B36C","Alarm",1,"bin","Control",""
4480001,"NVE_EC_67_B3nvoO1","Fan Coil Units","FC_B_5","SupplyFanStartStop",1,"bin","Control",""
4480006,"NVE_EC_67_B3nvoO6","Fan Coil Units","FC_B_5","CoolCoilValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4490001,"NVE_EC_67_B4nvoI1","Fan Coil Units","FC_B_6 (B36G)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4490002,"NVE_EC_67_B4nvoI2","Fan Coil Units","FC_B_6","SupplyFanStatus",1,"bin","Control",""
4490003,"NVE_EC_67_B4nvoI3","Fan Coil Units","FC_B_6","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
4490004,"NVE_EC_67_B4nvoI4","Fan Coil Units","FC_B_6 (B36F)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4490005,"NVE_EC_67_B4nvoI5","Space","B36H","Alarm",1,"bin","Control",""
4490006,"NVE_EC_67_B4nvoI6","Space","B36J","Alarm",1,"bin","Control",""
4500001,"NVE_EC_67_B4nvoO1","Fan Coil Units","FC_B_6","SupplyFanStartStop",1,"bin","Control",""
4500006,"NVE_EC_67_B4nvoO6","Fan Coil Units","FC_B_6","CoolCoilValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4540001,"NVE_EC_67_B5nvoI1","Fan Coil Units","FC_B_7 (B36D)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4540002,"NVE_EC_67_B5nvoI2","Fan Coil Units","FC_B_7","SupplyFanStatus",1,"bin","Control",""
4540003,"NVE_EC_67_B5nvoI3","Fan Coil Units","FC_B_7","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
4540004,"NVE_EC_67_B5nvoI4","Fan Coil Units","FC_B_7 (B36E)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4540005,"NVE_EC_67_B5nvoI5","Space","B36B","Alarm",1,"bin","Control",""
4540006,"NVE_EC_67_B5nvoI6","Space","B36C","Alarm",1,"bin","Control",""
4550001,"NVE_EC_67_B5nvoO1","Fan Coil Units","FC_B_7","SupplyFanStartStop",1,"bin","Control",""
4550006,"NVE_EC_67_B5nvoO6","Fan Coil Units","FC_B_7","CoolCoilValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4560001,"NVE_ECP_300_M1nvoI1","Space","M16","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4560002,"NVE_ECP_300_M1nvoI2","Space","M16","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4560003,"NVE_ECP_300_M1nvoI3","Space","M17","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4560004,"NVE_ECP_300_M1nvoI4","Space","M17","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4560005,"NVE_ECP_300_M1nvoI5","Space","M18","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4560006,"NVE_ECP_300_M1nvoI6","Space","M18","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4560007,"NVE_ECP_300_M1nvoI7","Space","M19","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4560008,"NVE_ECP_300_M1nvoI8","Space","M19","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4570001,"NVE_ECP_300_M1nvoO1","Active Beam","M16","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4570002,"NVE_ECP_300_M1nvoO2","Active Beam","M16","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4570003,"NVE_ECP_300_M1nvoO3","Active Beam","M17","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4570004,"NVE_ECP_300_M1nvoO4","Active Beam","M17","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4570005,"NVE_ECP_300_M1nvoO5","Active Beam","M18","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4570006,"NVE_ECP_300_M1nvoO6","Active Beam","M18","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4570007,"NVE_ECP_300_M1nvoO7","Active Beam","M19","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
4570008,"NVE_ECP_300_M1nvoO8","Active Beam","M19","ActiveBeamCoolingValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
4580001,"NVE_ECP_300_M2nvoI1","Space","M12","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4580002,"NVE_ECP_300_M2nvoI2","Space","M12","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4580003,"NVE_ECP_300_M2nvoI3","Space","M13","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4580004,"NVE_ECP_300_M2nvoI4","Space","M13","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4580005,"NVE_ECP_300_M2nvoI5","Space","M14","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4580006,"NVE_ECP_300_M2nvoI6","Space","M14","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4580007,"NVE_ECP_300_M2nvoI7","Space","M15","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
4580008,"NVE_ECP_300_M2nvoI8","Space","M15","SpaceTempSetpoint",1,"Degrees F","Control","DivBy10"
4590001,"NVE_ECP_300_M2nvoO1","Active Beam","M12","ActiveBeamHeatingValvePos",1,"%","Control","DivBy-4,MulBy5,Add125"
